Gemeente;Stad/Gem.;Provincie;Oppervlakte (km²);Aantal inwoners (01/01/2023);Deelgemeenten;Path
Aalst;stad;Oost-Vlaanderen;78,12;90.068;Aalst, Gijzegem, Hofstade, Baardegem, Herdersem, Meldert, Moorsel, Erembodegem, Nieuwerkerken;path47
Aalter;gem.;Oost-Vlaanderen;119,19;29.529;Aalter, Bellem, Knesselare, Lotenhulle, Poeke, Ursel;path3
Aarschot;stad;Vlaams-Brabant;62,52;30.854;Aarschot, Gelrode, Langdorp, Rillaar;path250
Aartselaar;gem.;Antwerpen;10,93;14.752;Aartselaar;path177
Affligem;gem.;Vlaams-Brabant;17,7;13.556;Essene, Hekelgem, Teralfene;path266
Alken;gem.;Limburg;28,14;11.839;Alken;path231
Alveringem;gem.;West-Vlaanderen;80,01;5.054;Alveringem, Hoogstade, Oeren, Sint-Rijkers, Beveren, Gijverinkhove, Izenberge, Leisele, Stavele;path79
Antwerpen;stad;Antwerpen;204,51;538.910;Antwerpen, Berendrecht-Zandvliet-Lillo, Deurne, Borgerhout, Merksem, Ekeren, Berchem, Hoboken, Wilrijk;path127
Anzegem;gem.;West-Vlaanderen;41,79;12.222;Anzegem, Gijzelbrechtegem, Ingooigem, Vichte, Kaster, Tiegem;path121
Ardooie;gem.;West-Vlaanderen;34,58;9.338;Ardooie, Koolskamp;path101
Arendonk;gem.;Antwerpen;55,38;13.344;Arendonk;path138
As;gem.;Limburg;22,07;8.214;As, Niel-bij-As;path215
Asse;gem.;Vlaams-Brabant;49,64;35.191;Asse, Bekkerzeel, Kobbegem, Mollem, Relegem, Zellik;path267
Assenede;gem.;Oost-Vlaanderen;87,22;14.636;Assenede, Boekhoute, Bassevelde, Oosteeklo;path5
Avelgem;gem.;West-Vlaanderen;21,75;10.319;Avelgem, Kerkhove, Waarmaarde, Outrijve, Bossuit;path124
Baarle-Hertog;gem.;Antwerpen;7,48;3.012;Baarle-Hertog;path199
Balen;gem.;Antwerpen;72,88;23.308;Balen, Olmen;path163
Beernem;gem.;West-Vlaanderen;71,68;16.131;Beernem, Oedelem, Sint-Joris;path86
Beerse;gem.;Antwerpen;37,48;18.416;Beerse, Vlimmeren;path144
Beersel;gem.;Vlaams-Brabant;30,01;26.474;Beersel, Lot, Alsemberg, Dworp, Huizingen;path306
Begijnendijk;gem.;Vlaams-Brabant;17,62;10.487;Begijnendijk, Betekom;path249
Bekkevoort;gem.;Vlaams-Brabant;37,17;6.672;Bekkevoort, Assent, Molenbeek-Wersbeek;path265
Beringen;stad;Limburg;78,3;47.895;Beringen, Beverlo, Koersel, Paal;path212
Berlaar;gem.;Antwerpen;24,57;11.949;Berlaar, Gestel;path191
Berlare;gem.;Oost-Vlaanderen;37,82;15.446;Berlare, Overmere, Uitbergen;path28
Bertem;gem.;Vlaams-Brabant;29,75;10.276;Bertem, Korbeek-Dijle, Leefdaal;path274
Bever;gem.[3];Vlaams-Brabant;19,78;2.265;Bever;path300
Beveren;gem.;Oost-Vlaanderen;150,18;50.300;Beveren, Haasdonk, Melsele, Vrasene, Kallo, Doel, Kieldrecht, Verrebroek;path14
Bierbeek;gem.;Vlaams-Brabant;39,73;10.469;Bierbeek, Korbeek-Lo, Lovenjoel, Opvelp;path290
Bilzen;stad;Limburg;75,9;32.644;Bilzen, Beverst, Eigenbilzen, Grote-Spouwen, Hees, Kleine-Spouwen, Mopertingen, Munsterbilzen, Rijkhoven, Rosmeer, Waltwilder, Martenslinde, Hoelbeek;path228
Blankenberge;stad;West-Vlaanderen;17,41;20.511;Blankenberge, Uitkerke;path69
Bocholt;gem.;Limburg;59,34;13.743;Bocholt, Kaulille, Reppel;path203
